,Series,k,Mean,stdDev
1,1,1,3.0661885175471677,3.6008710243161652
2,2,1,2.983358137169811,3.6200212302028985
3,3,1,3.1054409849056595,3.4221398697840755
4,4,1,2.9548285754716965,3.9378932232772854
5,5,1,2.5137166047169806,2.338157903133661
6,6,1,2.2958686126415095,2.7637429364397907
7,7,1,2.7009140107547176,3.566305707203809
8,8,1,3.7095959209433973,5.117036869181775
9,9,1,2.765220081698113,2.2263291951111515
10,10,1,2.924560591886793,3.464631090624804
11,1,2,2.7587145689150923,3.1585357028849326
12,2,2,2.624459833820753,2.607595733152866
13,3,2,2.5943381761792446,2.941311623533826
14,4,2,2.519965452169812,3.021688968560967
15,5,2,2.0794319668396217,1.723069519495864
16,6,2,1.928846439716981,2.0887062983044715
17,7,2,2.678069409669811,3.4835142075227727
18,8,2,3.0308523621698105,3.432780928648551
19,9,2,2.469932929433963,2.038087433570591
20,10,2,2.64905299264151,2.9609321891143288
21,1,3,2.605187100345911,3.0566217124835524
22,2,3,2.4374045604402514,2.5749240022565147
23,3,3,2.5522760559433957,2.906622681845631
24,4,3,2.272244841603774,2.5560422110376617
25,5,3,2.018359344150943,1.6843251651994413
26,6,3,1.775199297389937,1.963884494231573
27,7,3,2.6635429883333317,3.2673888845786543
28,8,3,2.8243041903773585,2.958211924980815
29,9,3,2.44138133201258,1.9887664677444798
30,10,3,2.713358462578617,3.145124245921786
31,1,4,2.6557947221933937,3.0807148260818185
32,2,4,2.342378491344338,2.2137248797685207
33,3,4,2.4633848368396225,2.8395206399143627
34,4,4,2.282425881320755,2.6535087368338584
35,5,4,2.0394740153537736,1.658434104202155
36,6,4,1.748667375566038,1.8918269631132263
37,7,4,2.593241531415094,3.210367013806394
38,8,4,2.6331607207075476,2.5454417943352157
39,9,4,2.411306404433964,2.0738362579831686
40,10,4,2.6454223927594356,2.8623983866780587
41,1,5,2.6851640658490554,3.0775378321674944
42,2,5,2.260885226943395,2.0094311208283178
43,3,5,2.399046865981131,2.76776858213699
44,4,5,2.2511492059245284,2.525432420915392
45,5,5,1.969906809716981,1.7220244002383958
46,6,5,1.8301428189056594,1.8190266525616856
47,7,5,2.609320206377358,3.3087704004111207
48,8,5,2.5653925889056595,2.4213906394037013
49,9,5,2.433008500773586,2.1342343409836912
50,10,5,2.6739048032641506,2.8749183739107744
51,1,6,2.631129854748427,3.0629767935845886
52,2,6,2.274380382468553,1.9219420590478598
53,3,6,2.3652520959276724,2.846121526389114
54,4,6,2.3337783756603776,2.7440024451245137
55,5,6,1.9657590355503136,1.7077206188537608
56,6,6,1.865838655691823,1.9303818460813067
57,7,6,2.5543828771855344,3.192943325503027
58,8,6,2.540233695471698,2.4808219537419096
59,9,6,2.451460087657234,2.1578547941627875
60,10,6,2.627644372971699,2.881616624719511
61,1,7,2.5813428399191367,3.0678526843550338
62,2,7,2.284133175296496,1.9644419361230465
63,3,7,2.348234419501347,2.808585910747432
64,4,7,2.265320095916443,2.619237227621511
65,5,7,1.9482864792318049,1.7052621515078354
66,6,7,1.8427105627088944,1.8848436253272767
67,7,7,2.537601107075471,3.145891120650339
68,8,7,2.5267759449056606,2.4834983297241533
69,9,7,2.5286416954177904,2.2555072101896143
70,10,7,2.6145345502964963,2.9424439084640914
71,1,8,2.609582712382074,3.1171398636419063
72,2,8,2.279050003490566,1.991893147827099
73,3,8,2.2543564131957545,2.791595950584584
74,4,8,2.1406999753891522,2.545481040589566
75,5,8,1.9047769250707527,1.6799031649798435
76,6,8,1.8277908216037728,1.872790520397453
77,7,8,2.5204982724292453,3.195859646567001
78,8,8,2.5419823173938676,2.5098942962745414
79,9,8,2.518111905094341,2.2454541734793056
80,10,8,2.595831583726416,2.9293592503685613
81,1,9,2.59719659871069,3.0835451902842177
82,2,9,2.2210790054821805,1.9132014882978374
83,3,9,2.2006898750524115,2.7664957235362486
84,4,9,2.1024610324737942,2.511717049551335
85,5,9,1.8885102185010472,1.6576757112451768
86,6,9,1.843623739528301,1.7748955177923105
87,7,9,2.5059647621802936,3.2046970155454573
88,8,9,2.51838038216981,2.4363351662311064
89,9,9,2.564578550964362,2.3346019407613303
90,10,9,2.6263687710587003,3.010949252437507
91,1,10,2.557103925254716,3.048873083497754
92,2,10,2.249041765113208,1.9159326715671574
93,3,10,2.176421028103774,2.754270709948198
94,4,10,2.0674095306226414,2.4509519888798623
95,5,10,1.8610689349999996,1.5655961429548053
96,6,10,1.8885796898679243,1.785304820440477
97,7,10,2.479678880783018,3.1495015972035323
98,8,10,2.4517389084056602,2.338710720980758
99,9,10,2.573198120207549,2.3662884867142706
100,10,10,2.63957107781132,2.9508221701317305
101,1,11,2.537128860994854,2.983272821360065
102,2,11,2.2158175104373936,1.8578278967580708
103,3,11,2.181420380102915,2.7612173901548993
104,4,11,2.0258067261149217,2.340817756737773
105,5,11,1.8214147338164655,1.445363657693734
106,6,11,1.930228148430531,1.767575702053012
107,7,11,2.493227303627786,3.1704379737679615
108,8,11,2.4013736326329336,2.2280912105568
109,9,11,2.552076808044598,2.3016594150388254
110,10,11,2.6486706606174963,2.929733700286813
111,1,12,2.5256479505188674,2.939019014167447
112,2,12,2.189406726226415,1.8366049281908223
113,3,12,2.151733424347485,2.7510883914472224
114,4,12,2.02148649658805,2.3465285835132472
115,5,12,1.7604319957232697,1.4596178437760947
116,6,12,1.9139711438286162,1.7506032750145357
117,7,12,2.4661259341509423,3.11674664992481
118,8,12,2.3979327410298747,2.1607892339758368
119,9,12,2.55038276875,2.2619084231854742
120,10,12,2.619815998781446,2.9410173380898113
121,1,13,2.4724052341074017,2.9159956082374054
122,2,13,2.1851526757256905,1.789084926471214
123,3,13,2.173547978933237,2.7122804266299334
124,4,13,1.9612830751088532,2.2562933002647325
125,5,13,1.7547942300217687,1.486236528467525
126,6,13,1.8679142276124818,1.7102495780123563
127,7,13,2.4815648822641503,3.1254495011199497
128,8,13,2.3443623118432515,2.1138746647886637
129,9,13,2.5179707065602326,2.155954052426287
130,10,13,2.5718197642307694,2.907666611517722
131,1,14,2.4896793687466308,2.9271480817537348
132,2,14,2.1929077650134783,1.8279028376739563
133,3,14,2.149827472803234,2.7325248558418376
134,4,14,1.9531304677223713,2.238967794060796
135,5,14,1.7296080545552541,1.4721715538283744
136,6,14,1.84125882337601,1.718908225963015
137,7,14,2.4111099649460908,3.104501209681776
138,8,14,2.3630498842587606,2.0977820290569578
139,9,14,2.5112443742452832,2.1428634069035772
140,10,14,2.5711396519339633,2.891086634053681
141,1,15,2.4776779102767286,2.8979055679227046
142,2,15,2.1866582980817624,1.8165206044705515
143,3,15,2.137618334345911,2.7035636456922956
144,4,15,1.9715654200062893,2.249088695557386
145,5,15,1.770893892132074,1.4589373538030326
146,6,15,1.833524195962264,1.7473631348461396
147,7,15,2.3977568529496844,3.115906254838849
148,8,15,2.3086452640566035,2.0573862257063515
149,9,15,2.4938558996163525,2.0881402520481847
150,10,15,2.5265126709308174,2.8483266413616355
151,1,16,2.4629784665625003,2.907656670906739
152,2,16,2.1680314179834923,1.8069131344559055
153,3,16,2.1420990477653303,2.693755706705918
154,4,16,1.9738303456308965,2.220813277324007
155,5,16,1.7705912348054231,1.4698649555383403
156,6,16,1.812314666067217,1.7407066051115263
157,7,16,2.4184963244103774,3.1235110551727017
158,8,16,2.307809982841982,2.075682236414038
159,9,16,2.5159991742924532,2.0640829753331515
160,10,16,2.486051870554245,2.8392556098210333
161,1,17,2.4563770024195333,2.917167508313938
162,2,17,2.194574046220867,1.8685843723559503
163,3,17,2.1116397812985577,2.6886235659524056
164,4,17,1.9795139981243077,2.200428273592416
165,5,17,1.7056087920921186,1.387200501781778
166,6,17,1.7993061988124297,1.7753210596866595
167,7,17,2.4146930772807993,3.1475418592502518
168,8,17,2.3106104908268605,2.04145769744672
169,9,17,2.5072080124417333,2.0374453304742306
170,10,17,2.4797909973862375,2.8400579401627666
171,1,18,2.445553957264151,2.904011333589772
172,2,18,2.2326226277358496,1.884338090063148
173,3,18,2.0986919522327043,2.6585518995142476
174,4,18,1.9856864677830186,2.2350186598253465
175,5,18,1.6841982918501033,1.365478430153897
176,6,18,1.798217811907754,1.7566523715541822
177,7,18,2.3871373647641514,3.077391502572717
178,8,18,2.319461015272538,2.06883346046809
179,9,18,2.4927453337473797,1.982303806144112
180,10,18,2.441178697762054,2.843204678253551
181,1,19,2.461689243793447,2.915540329583596
182,2,19,2.2085565335551136,1.8539072616212229
183,3,19,2.0697146150198606,2.648312533635098
184,4,19,2.0021921336991064,2.2506462969196366
185,5,19,1.6556173729195613,1.2901183336662894
186,6,19,1.8043513975719943,1.7720831881060566
187,7,19,2.3885286685253226,3.092187331520953
188,8,19,2.2992905564448867,2.0698111271944897
189,9,19,2.4810584353277063,1.9593310002521105
190,10,19,2.427976133197616,2.843305051768333
191,1,20,2.4511214082075474,2.911067240534879
192,2,20,2.2375857818396234,1.865899556631173
193,3,20,2.0706012702452825,2.6566365036972694
194,4,20,1.9889805053349054,2.287267429001191
195,5,20,1.635137965910376,1.268588273195772
196,6,20,1.8286529370377325,1.8173941680845718
197,7,20,2.3832464842452827,3.106513921264192
198,8,20,2.2784895337075484,2.0564092187612255
